Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0.23714775000051597,1000,,,,0.0031268351145728917,15.854325414793035,0.04006898507363776,0,0,0.635267424944396,0,,
0.23709750000033533,1100,,,,0.02388201415763411,15.826166429794743,0.3085390400786965,3954,0,4.882990674262854,0.004893373394964062,,
3.7628965000004975,1200,,,,0.08012070523498993,15.75175631488212,0.9172240068498144,7272,0,14.447886829810974,0.005545873155167838,,
7.261246750000493,1300,,,,0.16594383657810594,15.60792672403746,2.10543682809831,10463,0,32.86151591404181,0.0050499948002050345,,
10.761897000000578,1400,,,,0.2760621603420711,15.377782022158986,3.955508403600202,13352,0,60.82691395877849,0.004538551145312196,,
14.2612470000003,1500,,,,0.3897710853986453,15.09378051115218,6.20067640516117,15649,0,93.59165071128851,0.004164662005952653,,
17.760996000000414,1600,,,,0.4975311989948894,14.770308845252476,8.789162083225447,17735,0,129.8186162933906,0.0038325158698833484,,
21.26174725000048,1700,,,,0.6196255301832869,14.368701092147848,12.222880694298626,19670,0,175.6269679705512,0.0035281121684649025,,
24.76104625000041,1800,,,,0.7441000175586805,13.889373718445999,16.185004885944895,21477,0,224.79957157230507,0.0033100696238981724,,
28.26179725000062,1900,,,,0.8586838685143305,13.324435252814643,20.749142404806786,23037,0,276.4706391770678,0.0031058864565769078,,
31.760246750000583,2000,,,,0.9539327904790446,12.732216291564608,25.20178348331411,24234,0,320.8746317317933,0.0029729159757004527,,
35.26339600000041,2000,,,,0.9318935589023457,12.66463219650342,24.773495522313713,24088,0,313.74722795068044,0.002970204945482103,,
38.76074650000064,1900,,,,0.8080699399621445,13.161680741003199,19.61518777380021,22518,0,258.16883676200985,0.003130009181659197,,
42.26119750000038,1800,,,,0.6983985727612189,13.595771661375355,15.425088560325227,20983,0,209.71600858132228,0.0033302262618163823,,
45.76159550000055,1700,,,,0.5762216312171735,13.99485980053397,11.48916753397072,19134,0,160.78929526017936,0.0035837099027152654,,
49.26364650000049,1600,,,,0.4651585582049509,14.334446269862053,8.344634631929363,17216,0,119.61573294483155,0.003888784190873195,,
52.76219725000034,1500,,,,0.36078716380812775,14.607283539806966,5.8395983623957095,15190,0,85.30067421978809,0.004229599780900528,,
56.2621467500004,1400,,,,0.25289068260048775,14.850840585071177,3.6544039366965393,12907,0,54.27097820117316,0.004659830809918816,,
59.760546500000544,1300,,,,0.15236177215304048,15.050252453795357,1.939789485874504,10119,0,29.19429730670649,0.005219479250308133,,
63.26139625000051,1200,,,,0.07440916379336604,15.193316693378232,0.8633658622313429,7067,0,13.117393198170447,0.005672736153647984,,
66.76139675000069,1100,,,,0.023767663391776196,15.281755852795552,0.29554171184173883,3826,0,4.516390163726447,0.00526469326553448,,
70.23729625000064,1000,,,,0.003942969064370835,15.338054376672499,0.04263444198519305,0,0,0.6539297445184191,0,,
73.73559650000053,1000,,,,0.004537502110583224,15.365176149697422,0.04053944746136079,0,0,0.6228935373375152,0,,
77.23564750000051,1100,,,,0.023832344804673077,15.361116893975524,0.30141170355447466,3859,0,4.6300206302797235,0.005148109637244764,,
80.73574700000061,1200,,,,0.07571250748932812,15.319865881803745,0.8869351247144653,7124,0,13.587721854705572,0.005572589540973541,,
84.23599550000048,1300,,,,0.1597707397635753,15.218145641416404,2.0114824515420255,10220,0,30.61103513782398,0.005219664147774557,,
87.73699575000052,1400,,,,0.2662581273199901,15.045392339145181,3.8162437896070487,13111,0,57.416887679781645,0.004637307123988665,,
91.23634675000058,1500,,,,0.37381518279734993,14.818223988189683,5.983603901905026,15451,0,88.66638296898356,0.004215978410070354,,
94.73624750000066,1600,,,,0.48571214882483726,14.526741540967297,8.639231795340233,17412,0,125.49988826389408,0.0038702452250639436,,
98.2371465000007,1700,,,,0.5999533099060503,14.171049220984225,11.876144880310093,19452,0,168.2974289511048,0.003564857185990642,,
101.73574700000052,1800,,,,0.723037604050788,13.729680549379538,15.808651352783432,21150,0,217.04772886104743,0.003331248735119826,,
105.23809775000055,1900,,,,0.8294542794818488,13.220077989989747,20.1568410628479,22777,0,266.475001127355,0.0031126924139684483,,
108.73579675000049,2000,,,,0.9320180068349352,12.6449042443259,24.76698918025391,24082,0,313.17626024158693,0.00297602003800962,,
112.23604675000054,2000,,,,0.9181040975854335,12.56535082799903,24.44624916449948,23924,0,307.175722436047,0.002988856097274808,,
115.7371957500005,1900,,,,0.7963906866295616,13.044096065089287,19.190960384153655,22343,0,250.32872678487,0.003181382162126315,,
119.23824675000049,1800,,,,0.6896590796706844,13.437377545404502,15.203307023884179,20741,0,204.29259904501632,0.003375853625823333,,
122.73529650000064,1700,,,,0.5756713002465381,13.803764844976005,11.469398779251,18904,0,158.32090297379634,0.003636120158533298,,
126.23604600000053,1600,,,,0.46098350238282587,14.134460721068098,8.239875221860867,17006,0,116.46618781380218,0.003958093792805967,,
