Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0.23725100000053642,1000,,,,0.0030922324897157153,15.029922034422379,0.04310506739746078,0,0,0.6478659239361637,0,,
0.2397514999996871,1100,,,,0.02221240831707088,15.005001568676155,0.2949116970190174,3751,0,4.4251503824290985,0.005022756751017582,,
3.720750749999658,1200,,,,0.07192256574544541,14.94889836040621,0.8671932050923642,6920,0,12.963580802712539,0.005548716619706446,,
7.221801249999646,1300,,,,0.1489438788397765,14.83978840447116,1.9398538139922017,9962,0,28.787017385666587,0.005174097591339301,,
10.721751499999641,1400,,,,0.24870257727601142,14.665043515911217,3.6501927560754446,12764,0,53.530225362414626,0.004646157230848368,,
14.221351499999594,1500,,,,0.35762816603177966,14.430217896813947,5.786411652762703,15096,0,83.4991915142613,0.00428302398123211,,
17.718401749999547,1600,,,,0.4631631079942637,14.156720972238366,8.221916247005236,17065,0,116.39536948162902,0.0039792418106876,,
21.231401499999784,1700,,,,0.5748271652413365,13.795885121189993,11.38493308400001,19043,0,157.06522099931956,0.003659799580978656,,
24.77300149999969,1800,,,,0.6922753636929168,13.357701047247312,15.167745794465926,20725,0,202.60626674803797,0.0034168619555516996,,
28.29720124999965,1900,,,,0.7960205465655714,12.880711018062499,19.036223983454025,22246,0,245.20017682807847,0.0032464147321905738,,
31.79545199999963,2000,,,,0.8975432172476264,12.28774318242959,23.880430564049313,23597,0,293.4366347014609,0.0030587283769834446,,
35.2973012499996,2000,,,,0.8807416265000709,12.194156949974964,23.527515581463113,23336,0,286.8982467159221,0.003069876543602419,,
38.79740124999965,1900,,,,0.7594639939133099,12.621505836902088,18.340296112157347,21770,0,231.48215898990628,0.003280878628240839,,
42.29200199999949,1800,,,,0.6466475232161365,12.976844572289476,14.274706219626324,20011,0,185.24063950734381,0.0034908520434842687,,
45.82210174999949,1700,,,,0.5352086739276684,13.29706803894464,10.787780777284047,18387,0,143.44584743933956,0.003731107209863736,,
49.32130074999966,1600,,,,0.42544938052780507,13.590476901939207,7.684711702941381,16459,0,104.43888915281477,0.004073675575285548,,
52.84715099999956,1500,,,,0.330039941123839,13.815663890008114,5.442836294848305,14604,0,75.19634264911076,0.004389157462556086,,
56.367650749999505,1400,,,,0.23088628382163479,14.027641728808032,3.436363255465455,12264,0,48.2040397167314,0.004790127653515209,,
59.8796509999997,1300,,,,0.1380714212082817,14.206240236960559,1.7948660845773812,9562,0,25.49828066189645,0.005415244375815573,,
63.37570074999966,1200,,,,0.06738535274101562,14.328129703569203,0.8058612803108615,6680,0,11.546495755359787,0.005836721868072363,,
66.8750012499996,1100,,,,0.02270707099762892,14.403820399243452,0.28746287418907646,3616,0,4.140563158761194,0.005484694331167157,,
